Array Size,CPUCompactWithScan,CPUCompactWithoutuScan,CPUScan,EfficientBankOptimizedSharedMemScan,EfficientCompact,EfficientScan,EfficientSharedMemScan,NaiveScan,RadixSort,ThrustScan
256,0.00312,0.00018,0.0001,0.0139264,0.1664,0.330854,0.0183296,0.042496,0.0299008,0.224973
1024,0.0041,0.00078,0.00024,0.0106496,0.179814,0.420966,0.0118784,0.0838656,0.0769024,0.0295936
8192,0.03728,0.00944,0.00291,0.0196608,0.234394,0.443187,0.022528,0.0986112,0.108851,0.0304128
32768,0.13038,0.05933,0.00854,0.0489184,0.262406,0.532586,0.0482336,0.177744,0.213395,0.0769472
131072,0.49113,0.21795,0.03016,0.0634368,0.362787,0.607254,0.0605696,0.155574,0.168806,0.0520704
1048576,4.091855,2.256526667,0.3241733333,0.111488,0.5056456667,1.014022667,0.137469,0.4068615,0.4617236667,0.146208
4194304,16.8136,8.59004,2.07581,0.353306,1.32138,1.75386,0.422819,1.706,2.1252,0.203578
16777216,68.0669,34.5437,8.79466,0.0025472,8.11009,7.4386,0.0025632,17.7327,15.6761,0.677619
67108864,439.386,151.334,33.1646,0.0027392,34.6541,25.291,0.0029728,79.3013,93.8617,2.72899
,,,,,,,,,,
,,,,,,,,,,
Array Size,CPUScan,NaiveScan,EfficientScan,ThrustScan,,,,,,
256,0.0001,0.042496,0.330854,0.224973,,,,,,
1024,0.00024,0.0838656,0.420966,0.0295936,,,,,,
8192,0.00291,0.0986112,0.443187,0.0304128,,,,,,
32768,0.00854,0.177744,0.532586,0.0769472,,,,,,
131072,0.03016,0.155574,0.607254,0.0520704,,,,,,
1048576,0.3241733333,0.4068615,1.014022667,0.146208,,,,,,
4194304,2.07581,1.706,1.75386,0.203578,,,,,,
16777216,8.79466,17.7327,7.4386,0.677619,,,,,,
67108864,33.1646,79.3013,25.291,2.72899,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Array Size,EfficientScan,EfficientBankOptimizedSharedMemScan,,,,,,,,
256,0.330854,0.0139264,,,,,,,,
1024,0.420966,0.0106496,,,,,,,,
8192,0.443187,0.0196608,,,,,,,,
32768,0.532586,0.0489184,,,,,,,,
131072,0.607254,0.0634368,,,,,,,,
1048576,1.014022667,0.111488,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Array Size,RadixSort,,,,,,,,,
256,0.0299008,,,,,,,,,
1024,0.0769024,,,,,,,,,
8192,0.108851,,,,,,,,,
32768,0.213395,,,,,,,,,
131072,0.168806,,,,,,,,,
1048576,0.4617236667,,,,,,,,,
4194304,2.1252,,,,,,,,,
16777216,15.6761,,,,,,,,,
67108864,93.8617,,,,,,,,,
